trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,1,8.691848533649901,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,9,0.0011628473315876686,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",30,6,-119.14660954960246,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 3}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,6,-10.453030601081696,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,15,17.889362762121817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,11,5.341447535256055,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,13,11.31755282306126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,14,-21.045837658536684,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",20,4,23.42425608151419,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,8,11.66821942225158,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",25,11,-24.617627358406015,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,7,9.868847958831202,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",20,15,9.594735443968169,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",20,10,-45.225058452496256,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
